学号	课程班级
20603090407	22级904数学班
20603090409	22级904数学班
20603090410	22级904数学班
20603090411	22级904数学班
20603090412	22级904数学班
20603090413	22级904数学班
20603090415	22级904数学班
20603090417	22级904数学班
20603090418	22级904数学班
20603090422	22级904数学班
20603090423	22级904数学班
20603090433	22级904数学班
20603090435	22级904数学班
20603090437	22级904数学班
20603090438	22级904数学班
20603090439	22级904数学班
20603090440	22级904数学班
20603090441	22级904数学班
20603090442	22级904数学班
20603090443	22级904数学班
20603090444	22级904数学班
20603090445	22级904数学班
20603090451	22级904数学班
20603090452	22级904数学班
20603090453	22级904数学班
20603090454	22级904数学班
20603090504	22级905数学班
20603090505	22级905数学班
20603090507	22级905数学班
20603090508	22级905数学班
20603090509	22级905数学班
20603090510	22级905数学班
20603090511	22级905数学班
20603090512	22级905数学班
20603090513	22级905数学班
20603090516	22级905数学班
20603090517	22级905数学班
20603090518	22级905数学班
20603090519	22级905数学班
20603090520	22级905数学班
20603090524	22级905数学班
20603090525	22级905数学班
20603090527	22级905数学班
20603090528	22级905数学班
20603090529	22级905数学班
20603090531	22级905数学班
20603090534	22级905数学班
20603090535	22级905数学班
20603090543	22级905数学班
20603090545	22级905数学班
20603090601	22级906数学班
20603090611	22级906数学班
20603090612	22级906数学班
20603090613	22级906数学班
20603090615	22级906数学班
20603090618	22级906数学班
20603090625	22级906数学班
20603090626	22级906数学班
20603090627	22级906数学班
20603090631	22级906数学班
20603090632	22级906数学班
20603090633	22级906数学班
20603090634	22级906数学班
20603090637	22级906数学班
20603090638	22级906数学班
20603090639	22级906数学班
20603090641	22级906数学班
20603090643	22级906数学班
20603090644	22级906数学班
20603090645	22级906数学班
20603090646	22级906数学班
20603090648	22级906数学班
20603090649	22级906数学班
20603090652	22级906数学班
20603090704	22级907数学班
20603090705	22级907数学班
20603090707	22级907数学班
20603090713	22级907数学班
20603090715	22级907数学班
20603090716	22级907数学班
20603090717	22级907数学班
20603090718	22级907数学班
20603090719	22级907数学班
20603090720	22级907数学班
20603090722	22级907数学班
20603090724	22级907数学班
20603090727	22级907数学班
20603090731	22级907数学班
20603090733	22级907数学班
20603090735	22级907数学班
20603090737	22级907数学班
20603090742	22级907数学班
20603090744	22级907数学班
20603090747	22级907数学班
20603090748	22级907数学班
20603090749	22级907数学班
20603090751	22级907数学班
20603090753	22级907数学班
20603090803	22级908数学班
20603090806	22级908数学班
20603090811	22级908数学班
20603090812	22级908数学班
20603090813	22级908数学班
20603090815	22级908数学班
20603090816	22级908数学班
20603090817	23级949数学班
20603090819	22级908数学班
20603090823	23级939汉语言文学班
20603090824	22级908数学班
20603090828	22级908数学班
20603090829	22级908数学班
20603090830	22级908数学班
20603090834	22级908数学班
20603090840	22级908数学班
20603090841	22级908数学班
20603090844	22级908数学班
20603090849	22级908数学班
20603090901	22级909数学班
20603090902	22级909数学班
20603090904	22级909数学班
20603090905	22级909数学班
20603090906	22级909数学班
20603090907	22级909数学班
20603090908	22级909数学班
20603090910	22级909数学班
20603090913	22级909数学班
20603090914	22级909数学班
20603090915	22级909数学班
20603090916	22级909数学班
20603090917	22级909数学班
20603090922	22级909数学班
20603090923	22级909数学班
20603090924	22级909数学班
20603090925	22级909数学班
20603090926	22级909数学班
20603090927	22级909数学班
20603090928	22级909数学班
20603090929	22级909数学班
20603090931	22级909数学班
20603090932	22级909数学班
20603090933	22级909数学班
20603090934	22级909数学班
20603090936	22级909数学班
20603090937	22级909数学班
20603090938	22级909数学班
20603090939	22级909数学班
20603090940	22级909数学班
20603090940	22级909数学班
20603090941	22级909数学班
20603090942	22级909数学班
20603090943	22级909数学班
20603090944	22级909数学班
20603090945	22级909数学班
20603090947	22级909数学班
20603090948	22级909数学班
20603090951	22级909数学班
20603090953	23级950数学班
20604091001	22级910英语班
20604091002	22级910英语班
20604091003	22级910英语班
20604091004	22级910英语班
20604091005	22级910英语班
20604091006	22级910英语班
20604091007	22级910英语班
20604091008	22级910英语班
20604091009	22级910英语班
20604091010	22级910英语班
20604091011	22级910英语班
20604091012	22级910英语班
20604091013	22级910英语班
20604091017	22级910英语班
20604091019	22级910英语班
20604091021	22级910英语班
20604091022	22级910英语班
20604091024	22级910英语班
20604091025	22级910英语班
20604091027	22级910英语班
20604091028	22级910英语班
20604091029	22级910英语班
20604091031	22级910英语班
20604091032	22级910英语班
20604091033	22级910英语班
20604091035	22级910英语班
20604091036	22级910英语班
20604091037	22级910英语班
20604091038	22级910英语班
20604091039	22级910英语班
20604091040	22级910英语班
20604091042	22级910英语班
20604091043	22级910英语班
20604091044	22级910英语班
20604091045	22级910英语班
20604091101	22级911英语班
20604091102	22级911英语班
20604091103	22级911英语班
20604091104	22级911英语班
20604091106	22级911英语班
20604091107	22级911英语班
20604091108	22级911英语班
20604091114	22级911英语班
20604091117	22级911英语班
20604091120	22级911英语班
20604091125	22级911英语班
20604091126	22级911英语班
20604091127	22级911英语班
20604091128	22级911英语班
20604091130	22级911英语班
20604091135	22级911英语班
20604091137	22级911英语班
20604091140	22级911英语班
20604091142	22级911英语班
20604091145	22级911英语班
20604091207	22级912英语班
20604091215	22级912英语班
